   Income Bracket         weight            GTI            TTI  TI_special_rates  tax_TI_special_rates  Aggregate_Income  tax_Aggregate_Income       tax_TTI     rebate   surcharge        cess         pitax
0              <0          0.000          0.000          0.000             0.000                 0.000             0.000                 0.000         0.000      0.000       0.000       0.000         0.000
1              =0  5,636,188.714          0.000          0.000             0.000                 0.000             0.000                 0.000         0.000      0.000       0.000       0.000         0.000
2            0-5L 30,211,368.235  7,710,792.000  6,806,018.000        38,374.000             6,518.000     6,773,191.000           110,543.000    97,366.000 19,651.000       0.000   3,109.000    80,823.000
3           5-10L 16,784,302.161 11,539,842.000  9,362,119.000        36,219.000             6,397.000     9,325,900.000           485,022.000   482,270.000    462.000       0.000  19,272.000   501,080.000
4          10-15L  4,112,932.332  4,945,281.000  4,308,594.000        35,441.000             6,390.000     4,273,153.000           535,597.000   538,213.000      0.000       0.000  21,529.000   559,742.000
5          15-20L  1,258,967.792  2,152,449.000  1,947,116.000        21,706.000             4,062.000     1,925,411.000           344,244.000   347,522.000      0.000       0.000  13,901.000   361,423.000
6          20-30L  1,017,055.172  2,443,855.000  2,273,565.000        45,806.000             8,314.000     2,227,759.000           482,731.000   488,707.000      0.000       0.000  19,548.000   508,255.000
7          30-40L    366,276.151  1,262,760.000  1,197,392.000         7,381.000             1,284.000     1,190,011.000           290,133.000   289,955.000      0.000       0.000  11,598.000   301,553.000
8          40-50L    173,768.220    768,545.000    737,107.000        26,115.000             5,180.000       720,589.000           184,895.000   189,720.000      0.000       0.000   7,589.000   197,309.000
9         50-100L    236,801.790  1,589,262.000  1,547,339.000        59,685.000            11,899.000     1,487,654.000           405,594.000   414,751.000      0.000  37,582.000  18,093.000   470,426.000
10          >100L    101,699.063  2,813,602.000  2,791,928.000       289,999.000            56,763.000     2,501,929.000           732,178.000   788,886.000      0.000 117,860.000  36,270.000   943,015.000
11            ALL 59,899,359.629 35,226,387.000 30,971,178.000       560,727.000           106,808.000    30,425,595.000         3,570,936.000 3,637,389.000 20,114.000 155,442.000 150,909.000 3,923,626.000
