           weight            GTI            TTI         pitax
0           0.000          0.000          0.000         0.000
1   5,636,188.714          0.000          0.000         0.000
2  30,211,368.235  7,710,792.000  6,806,018.000    80,823.000
3  16,784,302.161 11,539,842.000  9,362,119.000   501,080.000
4   4,112,932.332  4,945,281.000  4,308,594.000   559,742.000
5   1,258,967.792  2,152,449.000  1,947,116.000   361,423.000
6   1,017,055.172  2,443,855.000  2,273,565.000   508,255.000
7     366,276.151  1,262,760.000  1,197,392.000   301,553.000
8     173,768.220    768,545.000    737,107.000   197,309.000
9     236,801.790  1,589,262.000  1,547,339.000   470,426.000
10    101,699.063  2,813,602.000  2,791,928.000   943,015.000
11 59,899,359.629 35,226,387.000 30,971,178.000 3,923,626.000
